eps1         u           sigma3       sigma3'      sigma1       sigma1'      p           q
[%]         [kPa]        [kPa]        [kPa]        [kPa]        [kPa]        [kPa]       [kPa] 

5.9741      620.3213     698.4840      78.1628     800.2475     179.9262     112.0839     101.7634
5.9996      620.4004     698.4502      78.0498     800.2593     179.8588     111.9861     101.8090
6.0262      620.4570     698.4502      77.9933     800.3769     179.9199     111.9688     101.9267
6.0561      620.5248     698.4164      77.8916     800.4466     179.9218     111.9017     102.0302
6.0800      620.5814     698.4502      77.8689     800.5799     179.9985     111.9121     102.1297
6.1041      620.6153     698.4164      77.8011     800.6453     180.0300     111.8774     102.2289
6.1319      620.6605     698.4502      77.7897     800.7742     180.1137     111.8977     102.3240
6.1589      620.7397     698.4502      77.7105     800.8701     180.1304     111.8505     102.4199
6.1865      620.8189     698.4502      77.6314     800.9444     180.1255     111.7961     102.4942
6.2131      620.8415     698.4502      77.6087     801.0406     180.1991     111.8055     102.5904
6.2384      620.8641     698.3826      77.5185     801.0079     180.1438     111.7270     102.6253
6.2668      620.9320     698.3826      77.4507     801.1124     180.1805     111.6940     102.7298
6.2930      621.0111     698.4164      77.4053     801.2114     180.2003     111.6703     102.7950
6.3188      621.0564     698.4164      77.3601     801.2979     180.2415     111.6539     102.8814
6.3445      621.1016     698.4164      77.3148     801.4155     180.3139     111.6479     102.9991
6.3754      621.1242     698.4502      77.3260     801.5195     180.3953     111.6825     103.0693
6.4067      621.2373     698.4164      77.1791     801.6284     180.3911     111.5831     103.2119
6.4344      621.2599     698.3826      77.1227     801.6370     180.3771     111.5409     103.2544
6.4591      621.2825     698.3826      77.1001     801.7138     180.4313     111.5438     103.3312
6.4840      621.3165     698.3826      77.0662     801.7800     180.4635     111.5320     103.3973
6.5112      621.3843     698.3826      76.9983     801.8644     180.4801     111.4922     103.4817
6.5378      621.3956     698.3826      76.9870     801.9390     180.5434     111.5058     103.5563
6.5658      621.4748     698.3489      76.8741     802.0405     180.5657     111.4380     103.6917
6.5920      621.5200     698.3489      76.8288     802.1259     180.6058     111.4212     103.7770
6.6167      621.5426     698.3489      76.8062     802.2127     180.6701     111.4275     103.8639
6.6418      621.5653     698.3489      76.7836     802.3406     180.7754     111.4475     103.9918
6.6742      621.5766     698.3489      76.7723     802.4189     180.8423     111.4623     104.0700
6.7032      621.6444     698.3489      76.7044     802.5215     180.8770     111.4286     104.1726
6.7296      621.6444     698.3489      76.7044     802.5335     180.8891     111.4327     104.1847
6.7570      621.6897     698.3489      76.6592     802.6275     180.9378     111.4187     104.2786
6.7828      621.7236     698.3489      76.6253     802.6817     180.9581     111.4029     104.3328
6.8085      621.7688     698.3151      76.5462     802.7435     180.9747     111.3557     104.4285
6.8326      621.8367     698.2813      76.4446     802.8797     181.0431     111.3107     104.5985
6.8611      621.8593     698.2813      76.4220     802.9411     181.0818     111.3086     104.6598
6.8864      621.8932     698.2813      76.3880     803.0266     181.1334     111.3032     104.7454
6.9167      621.9158     698.3151      76.3992     803.1300     181.2141     111.3375     104.8149
6.9435      621.9498     698.3151      76.3653     803.2034     181.2536     111.3281     104.8883
6.9699      621.9724     698.3151      76.3427     803.2772     181.3048     111.3301     104.9621
6.9999      622.0176     698.3826      76.3650     803.4247     181.4071     111.3790     105.0421
7.0261      622.0176     698.3489      76.3312     803.4234     181.4058     111.3561     105.0746
7.0490      622.0742     698.3151      76.2409     803.4776     181.4034     111.2951     105.1625
7.0780      622.1307     698.3151      76.1844     803.5585     181.4278     111.2655     105.2434
7.1098      622.1533     698.2813      76.1279     803.6542     181.5009     111.2523     105.3729
7.1374      622.2099     698.3151      76.1052     803.7497     181.5398     111.2501     105.4346
7.1640      622.2551     698.2813      76.0262     803.8097     181.5546     111.2023     105.5285
7.1928      622.3117     698.2813      75.9696     803.9112     181.5996     111.1796     105.6300
7.2188      622.2890     698.2475      75.9584     803.9305     181.6415     111.1861     105.6830
7.2462      622.3343     698.2475      75.9132     804.0128     181.6786     111.1683     105.7654
7.2699      622.3230     698.2475      75.9245     804.0581     181.7351     111.1947     105.8106
7.2934      622.3795     698.2475      75.8680     804.1551     181.7756     111.1705     105.9076
7.3203      622.3569     698.2813      75.9244     804.2406     181.8837     111.2441     105.9593
7.3471      622.4134     698.2813      75.8678     804.3749     181.9615     111.2324     106.0937
7.3729      622.4700     698.2475      75.7775     804.4457     181.9757     111.1769     106.1982
7.4040      622.4813     698.2137      75.7324     804.4690     181.9877     111.1508     106.2553
7.4279      622.5039     698.2475      75.7436     804.5990     182.0951     111.1941     106.3515
7.4520      622.5491     698.2137      75.6645     804.6096     182.0605     111.1299     106.3959
7.4794      622.5605     698.2137      75.6532     804.6914     182.1309     111.1458     106.4777
7.5076      622.6057     698.2137      75.6080     804.7310     182.1253     111.1138     106.5173
7.5369      622.6283     698.1799      75.5516     804.7458     182.1175     111.0736     106.5659
7.5653      622.6622     698.1799      75.5177     804.8159     182.1537     111.0630     106.6360
7.5911      622.7075     698.2137      75.5062     804.9537     182.2462     111.0862     106.7400
7.6199      622.7414     698.2137      75.4723     805.0746     182.3332     111.0926     106.8609
7.6461      622.7866     698.1799      75.3933     805.1134     182.3267     111.0377     106.9335
7.6702      622.7979     698.1799      75.3820     805.2088     182.4108     111.0582     107.0289
7.6993      622.8092     698.1799      75.3706     805.2573     182.4480     111.0631     107.0774
7.7279      622.8432     698.1461      75.3029     805.3032     182.4601     111.0220     107.1571
7.7617      622.8771     698.1799      75.3028     805.4210     182.5439     111.0498     107.2411
7.7850      622.8884     698.1799      75.2915     805.5376     182.6492     111.0774     107.3577
7.8126      622.8545     698.1799      75.3254     805.5260     182.6715     111.1074     107.3461
7.8410      622.9336     698.1799      75.2462     805.5954     182.6618     111.0514     107.4156
