eps1         u           sigma3        sigma3'     sigma1       sigma1'      p            q
[%]         [kPa]        [kPa]         [kPa]       [kPa]        [kPa]        [kPa]        [kPa] 

7.4358      495.3660     599.6509     104.2849     726.8904     231.6151     146.7283     127.3302
7.4568      495.2980     599.6185     104.3205     727.0247     231.9113     146.8508     127.5908
7.4833      495.2105     599.6347     104.4241     727.7239     232.2057     147.0180     127.7816
7.5069      495.1231     599.6671     104.5440     727.7147     232.5203     147.2027     127.9764
7.5313      495.0357     599.6671     104.6314     727.7527     232.8012     147.3547     128.1699
7.5563      494.8576     599.6995     104.8419     728.1044     233.2662     147.6500     128.4243
7.5838      494.7216     599.6833     104.9617     728.1685     233.4922     147.8052     128.5306
7.6137      494.6860     599.6833     104.9973     728.4236     233.7959     147.9302     128.7987
7.6398      494.6569     599.6509     104.9940     728.4977     233.9833     147.9905     128.9893
7.6652      494.5889     599.7966     105.2078     729.2031     234.4297     148.2818     129.2219
7.6940      494.4982     599.6833     105.1851     729.2447     234.5523     148.3075     129.3672
7.7191      494.3946     599.6509     105.2563     729.2340     234.8977     148.4701     129.6414
7.7483      494.2133     599.6995     105.4862     729.4876     235.3132     148.7619     129.8270
7.7740      494.0319     599.7157     105.6837     729.7182     235.7219     149.0298     130.0382
7.8042      493.9057     599.6995     105.7938     729.8415     235.9747     149.1874     130.1809
7.8299      493.7859     599.6833     105.8974     730.0132     236.2274     149.3407     130.3300
7.8614      493.6822     599.6509     105.9686     730.2059     236.5010     149.4794     130.5324
7.8890      493.6078     599.6023     105.9945     730.3308     236.7554     149.5815     130.7609
7.9174      493.6337     599.5861     105.9524     730.3776     236.8993     149.6014     130.9469
7.9409      493.6013     599.6347     106.0334     730.6880     237.1936     149.7535     131.1602
7.9628      493.5365     599.6833     106.1467     731.4379     237.5225     149.9387     131.3758
7.9934      493.4653     599.6671     106.2018     731.3030     237.7600     150.0545     131.5583
8.0193      493.3552     599.6509     106.2957     731.3150     238.0634     150.2183     131.7677
8.0457      493.1285     599.6347     106.5061     731.6252     238.5031     150.5051     131.9970
8.0702      492.9667     599.6023     106.6356     731.6647     238.7207     150.6640     132.0850
8.1000      492.8501     599.5861     106.7360     731.7862     239.0041     150.8254     132.2681
8.1305      492.7368     599.6347     106.8979     732.0609     239.3274     151.0411     132.4295
8.1604      492.6299     599.6347     107.0048     732.3677     239.6990     151.2362     132.6942
8.1878      492.5392     599.6347     107.0954     732.5515     239.9961     151.3957     132.9007
8.2110      492.4648     599.6185     107.1537     732.6152     240.2055     151.5043     133.0518
8.2387      492.4551     599.6185     107.1634     732.7703     240.4416     151.5895     133.2781
8.2650      492.4162     599.6023     107.1861     732.9715     240.6104     151.6609     133.4243
8.2936      492.3612     599.6185     107.2573     733.5061     240.8859     151.8002     133.6286
8.3232      492.2802     599.6023     107.3221     733.4326     241.0714     151.9052     133.7494
8.3542      492.1636     599.5861     107.4225     733.4659     241.3314     152.0588     133.9089
8.3809      491.9888     599.5861     107.5973     733.6164     241.6924     152.2957     134.0950
8.4092      491.8398     599.6185     107.7786     733.8356     242.0573     152.5382     134.2787
8.4355      491.7200     599.6023     107.8822     734.1342     242.3883     152.7176     134.5060
8.4628      491.6164     599.6185     108.0021     734.3299     242.7135     152.9059     134.7114
8.4919      491.5193     599.5699     108.0506     734.5000     242.9645     153.0219     134.9139
8.5176      491.4254     599.6185     108.1931     734.6385     243.2325     153.2062     135.0395
8.5451      491.3121     599.6023     108.2902     734.8066     243.5139     153.3648     135.2237
8.5693      491.2117     599.6023     108.3906     735.0388     243.7624     153.5145     135.3718
8.5980      491.1178     599.5861     108.4683     734.9902     243.9404     153.6257     135.4721
8.6262      491.1631     599.5537     108.3906     735.0995     244.0659     153.6157     135.6753
8.6530      491.1858     599.6023     108.4165     735.1518     244.2153     153.6828     135.7988
8.6794      491.1761     599.5537     108.3776     735.9421     244.4228     153.7260     136.0452
8.7074      491.1243     599.5699     108.4456     736.0632     244.6735     153.8549     136.2278
8.7348      491.0563     599.5375     108.4812     735.9548     244.9536     153.9720     136.4724
8.7655      490.8393     599.5537     108.7144     736.1194     245.3448     154.2579     136.6304
8.7919      490.6483     599.6347     108.9864     736.4794     245.8829     154.6186     136.8965
8.8185      490.5123     599.5699     109.0576     736.5321     246.0976     154.7376     137.0400
8.8422      490.3860     599.5375     109.1515     736.6922     246.2576     154.8535     137.1061
8.8639      490.2759     599.6185     109.3426     736.9815     246.6603     155.1151     137.3177
8.8948      490.2662     599.5699     109.3037     736.8809     246.7378     155.1151     137.4341
8.9219      490.2759     599.6185     109.3426     736.9649     246.9188     155.2013     137.5763
8.9457      490.2371     599.5537     109.3166     737.4871     247.1011     155.2448     137.7844
8.9747      490.1885     599.6023     109.4138     737.9020     247.4188     155.4155     138.0050
9.0024      490.1205     599.5699     109.4494     737.6614     247.5344     155.4777     138.0850
9.0320      489.9651     599.6509     109.6858     737.8700     247.9697     155.7804     138.2839
9.0573      489.7740     599.5699     109.7959     737.9911     248.2851     155.9589     138.4892
9.0874      489.6413     599.5861     109.9448     738.2206     248.6117     156.1671     138.6669
9.1181      489.5247     599.6833     110.1586     738.4893     248.9614     156.4262     138.8028
9.1460      489.4308     599.5699     110.1391     738.5654     249.1022     156.4601     138.9632
9.1731      489.3466     599.6347     110.2881     738.7099     249.3924     156.6562     139.1044
9.1965      489.2689     599.6185     110.3496     738.8169     249.5804     156.7598     139.2308
9.2239      489.2689     599.6023     110.3334     738.9738     249.7858     156.8175     139.4524
9.2460      489.2981     599.5537     110.2556     739.0365     249.8971     156.8028     139.6415
