eps1         u           sigma3       sigma3'     sigma1       sigma1'      p            q
[%]         [kPa]        [kPa]        [kPa]       [kPa]        [kPa]        [kPa]        [kPa] 

7.9855      538.1706     600.4759     62.3053     685.3894     147.2188      90.6098     84.9135
8.0162      538.2029     600.4759     62.2729     685.3901     147.1872      90.5777     84.9142
8.0417      538.2353     600.5083     62.2729     685.4715     147.2362      90.5940     84.9633
8.0705      538.1058     600.4597     62.3539     685.4688     147.3630      90.6903     85.0092
8.0926      538.2029     600.4597     62.2567     685.4775     147.2745      90.5960     85.0178
8.1188      538.1382     600.4759     62.3377     685.5565     147.4183      90.6979     85.0806
8.1499      538.1544     600.5083     62.3539     685.5166     147.3622      90.6900     85.0083
8.1783      538.1382     600.4759     62.3377     685.5449     147.4067      90.6940     85.0690
8.2096      538.1058     600.4759     62.3701     685.4579     147.3521      90.6974     84.9820
8.2432      538.1220     600.4759     62.3539     685.4413     147.3193      90.6757     84.9654
8.2706      538.0896     600.5245     62.4348     685.4066     147.3170      90.7289     84.8821
8.2965      538.1867     600.5083     62.3215     685.3519     147.1651      90.6027     84.8436
8.3211      538.1706     600.5245     62.3539     685.3164     147.1459      90.6179     84.7920
8.3478      538.0896     600.4759     62.3863     685.2142     147.1245      90.6324     84.7383
8.3724      538.0896     600.4921     62.4025     685.1643     147.0747      90.6265     84.6722
8.4041      538.1544     600.4273     62.2729     685.0557     146.9014      90.4824     84.6284
8.4335      538.1544     600.5407     62.3863     685.1708     147.0164      90.5963     84.6301
8.4630      538.2353     600.4597     62.2244     685.0481     146.8128      90.4205     84.5885
8.4885      538.1706     600.5245     62.3539     685.0893     146.9187      90.5422     84.5648
8.5153      538.1058     600.4759     62.3701     684.9726     146.8668      90.5357     84.4968
8.5396      538.1706     600.4435     62.2729     684.9611     146.7906      90.4455     84.5176
8.5660      538.1382     600.4597     62.3215     685.0251     146.8869      90.5100     84.5654
8.5924      538.1706     600.5407     62.3701     685.1106     146.9400      90.5601     84.5699
8.6177      538.1867     600.4921     62.3053     685.1107     146.9239      90.5115     84.6186
8.6433      538.1867     600.4435     62.2567     685.0384     146.8517      90.4550     84.5949
8.6733      538.1382     600.4921     62.3539     685.1168     146.9786      90.5621     84.6248
8.7016      538.1058     600.5569     62.4510     685.1843     147.0785      90.6602     84.6274
8.7298      538.1058     600.4597     62.3539     685.0898     146.9840      90.5639     84.6301
8.7601      538.0896     600.5245     62.4348     685.2417     147.1521      90.6739     84.7172
8.7833      538.1544     600.4435     62.2891     685.1535     146.9991      90.5258     84.7100
8.8062      538.1058     600.4273     62.3215     685.1161     147.0103      90.5511     84.6888
8.8330      538.1220     600.4273     62.3053     685.1488     147.0268      90.5458     84.7215
8.8629      538.1544     600.4921     62.3377     685.3009     147.1465      90.6073     84.8088
8.8911      538.0572     600.4435     62.3863     685.2116     147.1544      90.6423     84.7682
8.9187      538.0410     600.4597     62.4186     685.3028     147.2618      90.6997     84.8431
8.9471      538.0572     600.4435     62.3863     685.2889     147.2316      90.6680     84.8454
8.9784      538.0572     600.4435     62.3863     685.3459     147.2887      90.6871     84.9024
9.0081      538.0572     600.4111     62.3539     685.2428     147.1855      90.6311     84.8317
9.0326      538.0410     600.3787     62.3377     685.2450     147.2039      90.6264     84.8663
9.0559      538.0249     600.4273     62.4024     685.3149     147.2900      90.6983     84.8876
9.0827      538.0249     600.4435     62.4186     685.3061     147.2812      90.7062     84.8626
9.1107      538.0249     600.3463     62.3215     685.2545     147.2297      90.6242     84.9082
9.1408      538.0087     600.3625     62.3538     685.3430     147.3343      90.6807     84.9805
9.1659      537.9277     600.4273     62.4996     685.4130     147.4852      90.8281     84.9857
