eps1         u           sigma3       sigma3'      sigma1        sigma1'      p             q
[%]         [kPa]        [kPa]        [kPa]        [kPa]         [kPa]        [kPa]         [kPa] 

8.1450      739.2693     898.5665     159.2971     1087.9660     348.6967     222.4303     189.3996
8.1739      739.3598     898.6002     159.2404     1088.1025     348.7427     222.4079     189.5023
8.2042      739.4503     898.5665     159.1162     1088.2189     348.7686     222.3337     189.6525
8.2286      739.5860     898.5665     158.9805     1088.4522     348.8662     222.2757     189.8857
8.2587      739.5973     898.6340     159.0367     1088.6600     349.0627     222.3787     190.0259
8.2878      739.6765     898.6340     158.9576     1088.7111     349.0347     222.3166     190.0771
8.3181      739.7330     898.6678     158.9348     1088.8136     349.0806     222.3168     190.1458
8.3519      739.8122     898.6340     158.8219     1088.9324     349.1203     222.2547     190.2984
8.3782      739.8574     898.6002     158.7428     1088.9148     349.0574     222.1810     190.3146
8.4062      739.9253     898.6340     158.7088     1089.0421     349.1169     222.1781     190.4081
8.4325      739.9818     898.6340     158.6522     1089.1997     349.2179     222.1741     190.5657
8.4634      740.0723     898.5665     158.4942     1089.1990     349.1267     222.0384     190.6326
8.4946      740.1741     898.6002     158.4262     1089.4507     349.2766     222.0430     190.8504
8.5235      740.2419     898.6002     158.3583     1089.6228     349.3809     222.0325     191.0225
8.5549      740.2645     898.6002     158.3357     1089.6884     349.4239     222.0318     191.0882
8.5795      740.2758     898.6002     158.3244     1089.7985     349.5226     222.0572     191.1982
8.6072      740.3437     898.5665     158.2228     1089.9184     349.5747     222.0068     191.3520
8.6327      740.3889     898.5665     158.1775     1089.9559     349.5670     221.9740     191.3894
8.6599      740.4455     898.5665     158.1210     1090.0603     349.6149     221.9523     191.4939
8.6836      740.5133     898.5665     158.0531     1090.1819     349.6686     221.9249     191.6154
8.7063      740.5359     898.5665     158.0305     1090.2350     349.6991     221.9200     191.6686
8.7369      740.6377     898.5327     157.8949     1090.2983     349.6606     221.8168     191.7656
8.7621      740.7960     898.5327     157.7366     1090.5172     349.7211     221.7315     191.9845
8.7861      740.8187     898.5327     157.7140     1090.7386     349.9199     221.7826     192.2059
8.8147      740.8752     898.5327     157.6575     1090.7789     349.9037     221.7395     192.2463
8.8423      740.9431     898.5327     157.5896     1090.9824     350.0393     221.7395     192.4497
8.8675      740.9318     898.5327     157.6009     1091.0398     350.1080     221.7699     192.5071
8.9010      740.9657     898.4989     157.5332     1091.0458     350.0801     221.7155     192.5469
8.9290      741.0448     898.4989     157.4540     1091.1877     350.1428     221.6836     192.6888
8.9541      741.1014     898.4989     157.3975     1091.2051     350.1037     221.6329     192.7062
8.9823      741.1353     898.4989     157.3636     1091.3061     350.1708     221.6326     192.8072
9.0075      741.2258     898.5327     157.3069     1091.5476     350.3218     221.6452     193.0149
9.0398      741.3276     898.4989     157.1713     1091.6763     350.3487     221.5638     193.1774
9.0684      741.2823     898.5665     157.2841     1091.7835     350.5011     221.6898     193.2170
